Vattentemperatur,E. coli,E. coli prefix,Intestinala enterokocker prefix,Intestinala enterokocker,Eu-bad,Län,Kommun,Badplats,Latitud,Longitud,Badplatstyp,Datum,Vädertyp,Kvalitet,Algblomning
"20,3",2,=,=,2,N,Blekinge,Karlshamn,"<a href = ""https://badplatsen.havochvatten.se/badplatsen/karta/#/bath/SE0411082000000164""  target = ""_blank"">Elleholm</a>","56,1580454576621","14,7395381940959",Hav,2021-06-08 00:00:00,Klart,Tjänligt,Ingen blomning
"17,8",1,=,=,8,N,Blekinge,Karlshamn,"<a href = ""https://badplatsen.havochvatten.se/badplatsen/karta/#/bath/SE0411082000000166""  target = ""_blank"">Kollevik</a>","56,1593141210664","14,8983565895716",Hav,2021-06-08 00:00:00,Klart,Tjänligt,Ingen blomning
"20,8",2,=,=,2,N,Blekinge,Karlshamn,"<a href = ""https://badplatsen.havochvatten.se/badplatsen/karta/#/bath/SE0411082000000167""  target = ""_blank"">Köpegård</a>","56,189759234354","15,0443731842898",Hav,2021-06-07 00:00:00,Klart,Tjänligt,Ingen blomning
"21,9",1,<,<,1,N,Blekinge,Karlshamn,"<a href = ""https://badplatsen.havochvatten.se/badplatsen/karta/#/bath/SE0411082000000168""  target = ""_blank"">Lilla Öjasjön</a>","56,3097569509036","15,0030466865418",Sjö,2021-06-07 00:00:00,Klart,Tjänligt,Ingen blomning
20,4,=,=,6,N,Blekinge,Karlshamn,"<a href = ""https://badplatsen.havochvatten.se/badplatsen/karta/#/bath/SE0411082000000169""  target = ""_blank"">Långasjön camping</a>","56,2296494802975","14,8520304749263",Sjö,2021-06-07 00:00:00,Klart,Tjänligt,Ingen blomning
"18,7",1,=,<,1,N,Blekinge,Karlshamn,"<a href = ""https://badplatsen.havochvatten.se/badplatsen/karta/#/bath/SE0411082000000171""  target = ""_blank"">Nytäppet</a>","56,1674179354557","14,9780103215068",Hav,2021-06-07 00:00:00,Klart,Tjänligt,Ingen blomning
"17,2",6,=,=,1,N,Blekinge,Karlshamn,"<a href = ""https://badplatsen.havochvatten.se/badplatsen/karta/#/bath/SE0411082000000172""  target = ""_blank"">Sternö</a>","56,1454762441877","14,838350175563",Hav,2021-06-08 00:00:00,Klart,Tjänligt,Ingen blomning
"15,8",3,=,<,1,N,Blekinge,Karlshamn,"<a href = ""https://badplatsen.havochvatten.se/badplatsen/karta/#/bath/SE0411082000000173""  target = ""_blank"">Stilleryd</a>","56,1609212503176","14,8152675121364",Hav,2021-06-08 00:00:00,Klart,Tjänligt,Ingen blomning
"21,9",5,=,=,1,N,Blekinge,Karlshamn,"<a href = ""https://badplatsen.havochvatten.se/badplatsen/karta/#/bath/SE0411082000000174""  target = ""_blank"">Svartasjön</a>","56,2179696863414","14,9627358510779",Sjö,2021-06-07 00:00:00,Klart,Tjänligt,Ingen blomning
"21,8",1,<,<,1,N,Blekinge,Karlshamn,"<a href = ""https://badplatsen.havochvatten.se/badplatsen/karta/#/bath/SE0411082000000175""  target = ""_blank"">Trehörnan</a>","56,2580550379927","15,0217178128906",Sjö,2021-06-07 00:00:00,Klart,Tjänligt,Ingen blomning
